Unnamed: 0,Unnamed: 1,Human Development Index (HDI) ,Unnamed: 3,Life expectancy at birth,Unnamed: 5,Expected years of schooling,Unnamed: 7,Mean years of schooling,Unnamed: 9,Gross national income (GNI) per capita,Unnamed: 11,GNI per capita rank minus HDI rank,Unnamed: 13,HDI rank
HDI rank,Country,Value,,(years),,(years),,(years),,(2017 PPP $),,,,
,,2022,,2022,,2022,a,2022,a,2022,,2022,b,2021
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,
1,Switzerland,0.967,,84.255,,16.5837307,,13.90406622,c,69432.78669,,6,,1
2,Norway,0.966,,83.393,,18.63846016,d,13.06234279,c,69189.76165,,6,,2
3,Iceland,0.959,,82.815,,19.10672951,d,13.76716995,,54688.37921,,16,,4
4,"Hong Kong, China (SAR)",0.956,,84.315,,17.8495903,,12.34776974,,62485.50516,,6,,3
5,Denmark,0.952,,81.882,,18.77403069,d,12.96049023,,62018.95694,,6,,8
5,Sweden,0.952,,83.505,,19.03676987,d,12.67372015,c,56995.84796,,10,,5
7,Germany,0.95,,80.989,,17.34334946,,14.25594044,,55340.19722,,11,,7
7,Ireland,0.95,,82.716,,19.12610054,d,11.6569568,c,87467.51391,e,-3,,9
9,Singapore,0.949,,84.133,,16.90273094,,11.92488003,,88761.14559,e,-6,,10
10,Australia,0.946,,83.579,,21.0800209,d,12.72681999,,49257.1352,,14,,5
10,Netherlands,0.946,,82.451,,18.58348083,d,12.58162975,,57278.31015,,4,,11
12,Belgium,0.942,,82.293,,18.94573975,d,12.52857789,c,53644.03854,,9,,13
12,Finland,0.942,,82.351,,19.22859001,d,12.92915501,c,49522.09853,,11,,11
12,Liechtenstein,0.942,,84.656,,15.46640015,,12.351169,f,146673.2415,"e,g",-11,,14
15,United Kingdom,0.94,,82.156,,17.6342907,,13.4061203,,46623.90269,,13,,17
16,New Zealand,0.939,,83.006,,19.68234062,d,12.94468975,,43665.49848,,16,,14
17,United Arab Emirates,0.937,,79.196,,17.20813942,,12.77375031,,74103.71494,,-11,,17
18,Canada,0.935,,82.847,,15.96065044,,13.86876597,c,48444.39319,,8,,16
19,Korea (Republic of),0.929,,84.024,,16.50964928,,12.61409234,c,46026.4542,,10,,20
20,Luxembourg,0.927,,82.591,,14.19705009,,12.9600811,h,78554.2364,e,-15,,19
20,United States,0.927,,78.203,,16.41274071,,13.57549953,,65564.93798,,-11,,21
22,Austria,0.926,,82.412,,16.36746025,,12.30571367,c,56529.66329,,-5,,22
22,Slovenia,0.926,,82.133,,17.40657997,,12.88015724,c,41586.89849,,13,,24
24,Japan,0.92,,84.82,,15.45631981,,12.66923046,,43643.86417,,9,,22
25,Israel,0.915,,82.601,,15.02984047,,13.44279092,c,43588.25725,,9,,26
25,Malta,0.915,,83.704,,15.86133957,,12.21026039,,44464.03057,,5,,25
27,Spain,0.911,,83.912,,17.80905914,,10.60540009,,40043.33773,,10,,28
28,France,0.91,,83.229,,15.98756027,,11.68859246,c,47378.74304,,-1,,27
29,Cyprus,0.907,,81.889,,16.24308968,,12.44017029,,40136.89453,,7,,29
30,Italy,0.906,,84.057,,16.65806007,,10.7401104,,44284.15735,,1,,30
31,Estonia,0.899,,79.155,,15.94297981,,13.54843044,,37151.63384,,9,,32
32,Czechia,0.895,,78.129,,16.3472805,,12.91605342,c,39944.66682,,6,,31
33,Greece,0.893,,80.614,,20.02638054,d,11.40853024,,31381.667,,20,,33
34,Bahrain,0.888,,79.246,,16.29968071,,11.04658985,,48731.44564,,-9,,34
35,Andorra,0.884,,83.552,,12.7837801,,11.61343956,,54233.44948,i,-15,,43
36,Poland,0.881,,76.996,,15.93451977,,13.1647501,,35150.9519,,7,,35
37,Latvia,0.879,,75.927,,16.55606079,,13.33330305,c,32082.98104,,13,,39
37,Lithuania,0.879,,74.293,,16.39982986,,13.49810028,,38131.23588,,2,,36
39,Croatia,0.878,,79.236,,15.57269955,,12.32871821,c,34323.80663,,5,,37
40,Qatar,0.875,,81.559,,13.26426983,,10.1317219,c,95944.37754,e,-38,,41
40,Saudi Arabia,0.875,,77.905,,15.17204484,j,11.31052971,,50620.43706,,-18,,37
42,Portugal,0.874,,82.24,,16.82140923,,9.575940132,,35314.99828,,0,,39
43,San Marino,0.867,,83.433,,12.40295982,,10.52074301,k,57686.54334,l,-30,,44
44,Chile,0.86,,79.519,,16.76792908,,11.11136804,c,24430.99593,,15,,42
45,Slovakia,0.855,,75.33,,14.72154999,,13.00719575,c,32171.24606,,4,,45
45,Türkiye,0.855,,78.475,,19.68494987,d,8.811284129,c,32833.53512,,2,,48
47,Hungary,0.851,,74.958,,15.07330036,,12.24958992,,34195.54059,,-2,,46
48,Argentina,0.849,,76.064,,18.97950935,d,11.14408016,,22047.97131,,17,,47
49,Kuwait,0.847,,80.264,,15.6911416,c,7.441742908,c,56729.18152,,-33,,50
50,Montenegro,0.844,,76.845,,15.08475971,,12.61621288,c,22513.26314,,12,,49
51,Saint Kitts and Nevis,0.838,,72.027,,18.40703011,"d,m",10.8494008,n,28441.68074,,3,,51
52,Uruguay,0.83,,78,,17.35183907,,9.058219782,c,22206.99029,,12,,56
53,Romania,0.827,,74.117,,14.50753021,,11.36019615,c,31641.38368,,-1,,52
54,Antigua and Barbuda,0.826,,79.236,,15.51232774,c,10.54622968,j,18783.96536,,18,,54
55,Brunei Darussalam,0.823,,74.551,,13.69861984,,9.22,,59245.63485,,-43,,53
56,Russian Federation,0.821,,70.116,,15.66174936,c,12.41152954,,26991.84961,,1,,55
57,Bahamas,0.82,,74.358,,11.89137971,k,12.73161494,c,32534.88784,,-9,,67
57,Panama,0.82,,76.826,,13.21381473,c,10.68696295,c,32029.36025,,-6,,57
59,Oman,0.819,,73.935,,12.96403027,,11.89274979,,32967.43827,,-13,,58
60,Georgia,0.814,,71.587,,16.72682953,,12.70217037,,15952.02452,,19,,59
60,Trinidad and Tobago,0.814,,74.708,,14.1010764,o,11.73800258,c,22473.03876,,3,,60
62,Barbados,0.809,,77.706,,16.53069367,c,9.89206168,p,14810.23783,,24,,63
63,Malaysia,0.807,,76.26,,12.93247032,,10.74828052,c,27295.41224,,-7,,68
64,Costa Rica,0.806,,77.32,,16.09200378,c,8.804059982,,20248.38031,,2,,60
65,Serbia,0.805,,74.137,,14.50444031,,11.5047611,c,19494.00891,,3,,60
66,Thailand,0.803,,79.68,,15.58131027,,8.834560711,c,16886.51113,,10,,69
67,Kazakhstan,0.802,,69.489,,14.81626987,,12.43337895,c,22586.79889,,-6,,65
67,Seychelles,0.802,,71.738,,13.89179039,,11.19995,,28385.74806,,-12,,71
69,Belarus,0.801,,73.246,,13.98153019,,12.24122445,c,18425.01061,,5,,65
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,
70,Bulgaria,0.799,,71.528,,13.86802959,,11.41318035,,25920.80375,,-12,,70
71,Palau,0.797,,65.362,,17.21987569,k,13.04790021,k,19343.81199,l,-2,,64
72,Mauritius,0.796,,73.975,,14.61009979,,9.992049863,p,23251.62071,,-12,,72
73,Grenada,0.793,,75.335,,16.58226156,c,9.85796464,j,13593.24958,,18,,73
74,Albania,0.789,,76.833,,14.48746967,,10.12114431,p,15293.32651,,7,,74
75,China,0.788,,78.587,,15.21793605,c,8.106910446,c,18024.88747,,0,,74
76,Armenia,0.786,,73.372,,14.40561008,,11.33030033,,15388.29976,,4,,79
77,Mexico,0.781,,74.832,,14.50529957,,9.221050262,,19138.00726,,-7,,83
78,Iran (Islamic Republic of),0.78,,74.556,,14.11717033,,10.74618321,c,14770.32307,,10,,77
78,Sri Lanka,0.78,,76.61,,13.64182201,c,11.24960995,,11899.49847,,24,,76
80,Bosnia and Herzegovina,0.779,,75.293,,13.27705956,,10.53631973,,16571.41275,,-3,,77
81,Saint Vincent and the Grenadines,0.772,,68.972,,16.2530213,c,10.99625387,k,14049.14799,,9,,80
82,Dominican Republic,0.766,,74.17,,13.55698967,,9.150526383,c,18653.26836,,-9,,84
83,Ecuador,0.765,,77.894,,14.86483955,,8.969750404,,10693.23484,,25,,90
83,North Macedonia,0.765,,73.888,,13.00483036,,10.22815037,,16395.75173,,-5,,82
85,Cuba,0.764,,78.155,,14.46930027,,10.54807197,c,7953.448426,q,40,,92
86,Moldova (Republic of),0.763,,68.621,,14.90598011,,11.8338152,c,12963.61829,,8,,81
87,Maldives,0.762,,80.839,,12.17795095,c,7.762392544,c,18846.79219,,-16,,88
87,Peru,0.762,,73.385,,14.80487907,c,10.01696229,c,11916.35952,,14,,86
89,Azerbaijan,0.76,,73.488,,12.71063042,,10.55612992,c,15018.05443,,-7,,95
89,Brazil,0.76,,73.425,,15.5788002,,8.278307638,c,14615.89235,,0,,84
91,Colombia,0.758,,73.659,,14.43749046,,8.862859726,,15013.92724,,-8,,89
92,Libya,0.746,,72.151,,13.977117,j,7.77860643,r,19751.56758,,-25,,90
93,Algeria,0.745,,77.129,,15.48787975,,6.987443608,c,10978.40571,,13,,93
94,Turkmenistan,0.744,,69.41,,13.24057961,,11.14299353,c,12859.87406,l,1,,93
95,Guyana,0.742,,65.989,,13.02205765,o,8.627408726,p,35782.90961,,-54,,105
96,Mongolia,0.741,,72.667,,14.51719515,c,9.423700333,,10350.86141,,15,,99
97,Dominica,0.74,,72.981,,13.55048385,c,9.1863441,j,12467.85548,,-1,,97
98,Tonga,0.739,,71.27,,16.28749084,,10.88028609,p,6360.178905,l,34,,95
99,Jordan,0.736,,74.215,,12.62659427,c,10.44668007,,9294.801499,,15,,98
100,Ukraine,0.734,,68.564,,13.32800961,,11.12330123,p,11416.2168,,3,,86
101,Tunisia,0.732,,74.263,,14.61953746,c,7.953393173,c,10296.6496,,11,,101
102,Marshall Islands,0.731,,65.146,,16.38606071,,12.81836718,k,6855.234566,,28,,101
102,Paraguay,0.731,,70.475,,13.91056957,s,8.861840248,,13161.07522,,-9,,99
104,Fiji,0.729,,68.312,,13.84869,,10.37096977,,11233.65882,,0,,110
105,Egypt,0.728,,70.159,,12.91180992,,9.84810224,c,12360.8163,,-8,,103
106,Uzbekistan,0.727,,71.674,,11.99291039,,11.91114998,,8055.910265,,16,,105
107,Viet Nam,0.726,,74.58,,13.05294705,t,8.455348794,c,10813.98273,,0,,108
108,Saint Lucia,0.725,,71.294,,12.71032047,,8.576973425,c,14778.3463,,-21,,109
109,Lebanon,0.723,,74.416,,12.05109224,u,8.602969077,k,12313.42257,v,-11,,104
110,South Africa,0.717,,61.48,,14.26364994,,11.60696983,,13185.56419,,-18,,105
111,"Palestine, State of",0.716,,73.444,,13.15474033,,9.938480377,,6936.258684,,18,,110
112,Indonesia,0.713,,68.25,,13.97573724,c,8.556509972,,12045.56544,,-12,,113
113,Philippines,0.71,,72.187,,12.78335953,,8.971409559,c,9058.840558,,5,,118
114,Botswana,0.708,,65.913,,11.42568016,,10.42,,14841.57836,,-29,,124
115,Jamaica,0.706,,70.629,,12.45977059,c,9.248188719,c,9694.522766,,-2,,114
116,Samoa,0.702,,72.598,,12.4364,,11.36735585,c,4970.232074,,25,,112
117,Kyrgyzstan,0.701,,70.484,,12.99493027,,11.96131992,c,4781.692046,,28,,116
118,Belize,0.7,,70.962,,12.42656994,,8.847599983,,9242.082259,,-3,,115
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),0.699,,71.105,,13.50206427,k,9.628154421,k,6184.136,w,14,,120
120,Bolivia (Plurinational State of),0.698,,64.928,,15.02243817,,9.827750206,,7987.842247,,3,,119
120,Morocco,0.698,,74.973,,14.59442043,,6.05,,7954.522461,,4,,122
122,Nauru,0.696,,64.014,,12.56089218,c,9.247975,j,14938.55659,,-38,,117
123,Gabon,0.693,,65.694,,12.43426472,c,9.55,,11194.21884,,-18,,123
124,Suriname,0.69,,70.289,,10.95909977,,8.388631804,c,12309.99659,,-25,,121
125,Bhutan,0.681,,72.229,,13.06449041,c,5.835794662,c,10624.87388,v,-15,,125
126,Tajikistan,0.679,,71.288,,10.86102637,c,11.28955089,p,4807.213923,,18,,125
127,El Salvador,0.674,,71.475,,11.9099355,s,7.150929928,,8886.173528,,-7,,127
128,Iraq,0.673,,71.336,,12.22275571,t,6.811878947,p,9091.865377,,-11,,128
129,Bangladesh,0.67,,73.698,,11.94633007,,7.379059792,,6511.122178,,2,,130
130,Nicaragua,0.669,,74.615,,12.58347787,s,7.26,,5426.50618,,4,,129
131,Cabo Verde,0.661,,74.722,,11.53066323,c,6.09003905,k,7601.085433,,-4,,132
132,Tuvalu,0.653,,64.854,,12.10158014,c,10.64458626,c,4754.453732,,15,,131
133,Equatorial Guinea,0.65,,61.19,,12.13132742,j,8.281327014,j,10662.65921,,-24,,133
134,India,0.644,,67.744,,12.58370972,,6.570700169,,6950.526798,,-6,,135
135,Micronesia (Federated States of),0.634,,70.925,,12.615048,j,7.33252398,j,3709.154916,,18,,134
136,Guatemala,0.629,,68.674,,10.76720388,c,5.668648013,c,8996.415822,,-17,,136
137,Kiribati,0.628,,67.661,,11.80302,,9.128581569,k,3440.416745,,21,,137
138,Honduras,0.624,,70.728,,9.961707633,s,7.296200514,c,5271.604988,,2,,138
139,Lao People's Democratic Republic,0.62,,68.999,,10.18749046,,5.94697053,p,7744.837346,,-13,,140
140,Vanuatu,0.614,,70.492,,11.81160992,c,7.183209727,j,3243.980494,,21,,141
141,Sao Tome and Principe,0.613,,68.794,,12.6637182,o,5.915788918,c,4054.106945,,8,,143
142,Eswatini (Kingdom of),0.61,,56.36,,14.92692756,c,5.73,,8391.855111,,-21,,142
142,Namibia,0.61,,58.059,,11.75997928,x,7.243458294,p,9200.026599,,-26,,139
144,Myanmar,0.608,,67.256,,12.06090998,c,6.518157697,p,4037.705141,,6,,145
145,Ghana,0.602,,63.945,,11.58627987,,6.432318439,p,5380.271535,,-10,,144
146,Kenya,0.601,,62.055,,11.38448201,x,7.686359882,,4807.716317,,-3,,147
146,Nepal,0.601,,70.484,,12.64451981,,4.485598758,c,4025.554685,,5,,149
148,Cambodia,0.6,,69.896,,11.56094805,k,5.197100163,,4291.113168,,0,,147
149,Congo,0.593,,63.053,,12.41647044,c,8.250552585,p,2902.808037,,14,,146
150,Angola,0.591,,61.929,,12.1676,,5.844291601,x,5327.788251,,-11,,150
151,Cameroon,0.587,,60.958,,13.38097793,c,6.537401781,p,3681.469988,,3,,152
152,Comoros,0.586,,63.68,,13.03771042,c,6.209056832,y,3260.555466,,8,,151
153,Zambia,0.569,,61.803,,11.01797045,y,7.284893177,p,3157.35862,,9,,154
154,Papua New Guinea,0.568,,65.958,,11.12736798,x,4.933631146,p,3710.326885,,-2,,155
155,Timor-Leste,0.566,,69.056,,13.24177562,x,6.020059751,x,1629.160441,,24,,153
156,Solomon Islands,0.562,,70.742,,10.30071445,c,5.8796802,j,2273.311097,,14,,155
157,Syrian Arab Republic,0.557,,72.3,,7.418754527,k,5.736797587,k,3594.10679,z,-2,,157
158,Haiti,0.552,,63.728,,11.13756869,j,5.609468426,p,2801.712516,,6,,158
159,Uganda,0.55,,63.638,,11.49553237,x,6.235476362,c,2240.585404,,12,,160
159,Zimbabwe,0.55,,59.391,,11.02558696,c,8.807762621,c,2078.918063,,15,,159
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,
161,Nigeria,0.548,,53.633,,10.51407,,7.585969925,,4754.836408,,-15,,162
161,Rwanda,0.548,,67.129,,11.38352013,,4.878310204,,2316.809277,,8,,163
163,Togo,0.547,,61.588,,12.96236085,c,5.590314011,c,2214.233649,,9,,160
164,Mauritania,0.54,,64.691,,8.051850319,,4.754063344,p,5343.564069,,-26,,164
164,Pakistan,0.54,,66.431,,7.89510849,c,4.422319019,c,5374.270423,,-27,,165
166,Côte d'Ivoire,0.534,,58.916,,10.10165024,,4.23697763,p,5376.396062,,-30,,166
167,Tanzania (United Republic of),0.532,,66.782,,8.585740089,,5.639967963,c,2578.156006,,-1,,167
168,Lesotho,0.521,,53.036,,11.07051125,c,7.545058784,c,2708.731464,,-3,,168
169,Senegal,0.517,,67.913,,9.144550323,,2.88736686,c,3463.806076,,-12,,170
170,Sudan,0.516,,65.578,,8.501687381,c,3.87,,3514.765869,,-14,,169
171,Djibouti,0.515,,62.859,,8.028374362,c,3.889984156,k,4874.51828,,-29,,170
172,Malawi,0.508,,62.898,,11.50487088,c,5.243740082,,1432.472806,,10,,172
173,Benin,0.504,,59.954,,10.30257988,,3.137261725,p,3406.072937,,-14,,173
174,Gambia,0.495,,62.906,,8.977899686,x,4.512420177,,2089.626826,,-1,,174
175,Eritrea,0.493,,66.604,,7.318835512,c,5.09136442,j,1957.046464,z,2,,174
176,Ethiopia,0.492,,65.645,,9.938743514,c,2.390854081,c,2368.758391,,-8,,176
177,Liberia,0.487,,61.1,,10.46585369,,5.318104412,p,1330.419917,,8,,177
177,Madagascar,0.487,,65.23,,9.213435879,c,4.592520237,,1463.547925,,4,,177
179,Guinea-Bissau,0.483,,59.861,,10.5316806,o,3.673035,,1879.853611,,-1,,179
180,Congo (Democratic Republic of the),0.481,,59.743,,9.579486913,c,7.206164799,p,1080.138308,,9,,180
181,Guinea,0.471,,58.985,,10.20014763,c,2.35910296,c,2404.165832,,-14,,182
182,Afghanistan,0.462,,62.879,,10.70538475,c,2.514790058,,1335.205733,z,2,,181
183,Mozambique,0.461,,59.625,,10.72532345,c,3.860090017,,1219.241361,,4,,183
184,Sierra Leone,0.458,,60.411,,9.016348244,o,3.519426358,c,1612.666542,,-4,,184
185,Burkina Faso,0.438,,59.766,,8.091560364,,2.318685239,c,2036.997179,,-9,,185
186,Yemen,0.424,,63.72,,7.935313345,k,2.776825958,r,1105.763435,l,2,,186
187,Burundi,0.42,,61.977,,9.966378953,c,3.305215598,c,712.0260007,,5,,187
188,Mali,0.41,,59.417,,7.037249603,c,1.626710057,,2043.672433,,-13,,188
189,Chad,0.394,,52.997,,8.185526568,c,2.282753488,c,1388.897502,,-6,,189
189,Niger,0.394,,62.08,,7.186131428,c,1.341352433,p,1283.309235,,-3,,190
191,Central African Republic,0.387,,54.477,,7.285887393,c,3.9531639,p,869.11237,,0,,191
192,South Sudan,0.381,,55.567,,5.634770141,c,5.726140022,aa,690.6607575,l,1,,192
193,Somalia,0.38,,56.107,,7.647232333,j,1.900300026,,1072.201461,,-3,,..
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,73.578,,..,,..,,..,,..,,..
,Monaco,..,,86.895,ab,18.6915194,"c,d",..,,..,,..,,..
,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,
,Very high human development,0.902,,79.3093671780201,,16.629579431870752,,12.252912394856594,,44957.61550147927,,—,,—
,High human development,0.764,,75.20367976957571,,14.493020713741775,,8.63907469140144,,15483.822368591947,,—,,—
,Medium human development,0.64,,67.95257009493886,,12.315475793072695,,6.678403157965367,,6444.262021390976,,—,,—
,Low human development,0.517,,61.647364799289775,,9.25211639266552,,4.665130408453802,,3185.925418163499,,—,,—
,,,,,,,,,,,,,,
,Developing countries,0.694,,70.51234753347623,,12.543327700300313,,7.641017742055608,,11125.427534471788,,—,,—
,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,
,Arab States,0.704,,71.3094173115982,,11.895540635061531,,7.764183627587417,,14390.8505869979,,—,,—
,East Asia and the Pacific,0.766,,76.21549145113332,,14.4827146790317,,8.217525388567935,,16137.698917387435,,—,,—
,Europe and Central Asia,0.802,,73.56457485365604,,15.505423535218867,,10.609179066710889,,19762.98176987426,,—,,—
,Latin America and the Caribbean,0.763,,73.71508542483352,,14.783841196232304,,8.967833002225646,,15109.406151548,,—,,—
,South Asia,0.641,,68.44154341326636,,11.874642118888078,,6.629606611981397,,6971.62594930714,,—,,—
,Sub-Saharan Africa,0.549,,60.63969999290908,,10.318007791228412,,5.975956597273524,,3666.202926281372,,—,,—
,,,,,,,,,,,,,,
,Least developed countries,0.542,,64.9225785949575,,10.077080399870116,,5.047980389424638,,3005.704156736922,,—,,—
,Small island developing states,0.73,,71.57706202859084,,12.585566019001742,,8.62484959974069,,16379.35154895939,,—,,—
,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.906,,80.12990667343288,,16.591110370647144,,12.203173179216225,,46318.34496387285,,—,,—
,,,,,,,,,,,,,,
,World,0.739,,72.00406985389797,,12.989766108228025,,8.661597531144228,,17254.434036758892,,—,,—
,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,
,a. Data refer to 2022 or the most recent year available.,,,,,,,,,,,,,
,b. Based on countries for which a Human Development Index value is calculated.,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,
,"d. In calculating the HDI value, expected years of schooling is capped at 18 years.",,,,,,,,,,,,,
,"e. In calculating the HDI value, GNI per capita is capped at $75,000.",,,,,,,,,,,,,
,f. Updated by HDRO using mean years of schooling trend of Austria and data from UNESCO Institute for Statistics (2023),,,,,,,,,,,,,
,g. Estimated using the purchasing power parity (PPP) rate and projected growth rate of Switzerland.,,,,,,,,,,,,,
,h. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and OECD (2023).,,,,,,,,,,,,,
,i. Estimated using the PPP rate of Spain.,,,,,,,,,,,,,
,j. Based on HDRO estimates using cross-country regression.,,,,,,,,,,,,,
,k. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and estimates using cross-country regression.,,,,,,,,,,,,,
,"l. HDRO estimate based on data from World Bank (2023), United Nations Statistics Division (2023) and IMF (2023).",,,,,,,,,,,,,
,m. Refers to 2015 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,
,n. Refers to 2015 based on HDRO estimates using cross-country regression.,,,,,,,,,,,,,
,o. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,
,p. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and Barro and Lee (2018).,,,,,,,,,,,,,
,q. HDRO estimate based on cross-country regression and the projected growth rate from United Nations Statistics Division (2023) and UN DESA (2023).,,,,,,,,,,,,,
,r. Updated by HDRO based on data from Barro and Lee (2018) and estimates using cross-country regression.,,,,,,,,,,,,,
,s. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and SEDLAC (CEDLAS and The World Bank) (2023).,,,,,,,,,,,,,
,t. Updated by HDRO based on data from United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,
,u. Updated by HDRO based on data from United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys for various years and estimates using cross-country regression.,,,,,,,,,,,,,
,v. HDRO estimate based on data from World Bank (2023) and IMF (2023).,,,,,,,,,,,,,
,w. IMF (2023).,,,,,,,,,,,,,
,x. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,
,y. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,
,"z. HDRO estimate based on data from World Bank (2023), United Nations Statistics Division (2023) and UN DESA (2023).",,,,,,,,,,,,,
,aa. Refers to 2008 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,
,"ab. In calculating the HDI value, life expectancy is capped at 85 years.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,
,"Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/sites/default/files/hdr2023_technical_notes.pdf for details on how the HDI is calculated.",,,,,,,,,,,,,
,Life expectancy at birth: Number of years a newborn infant could expect to live if prevailing patterns of age-specific mortality rates at the time of birth stay the same throughout the infant’s life.,,,,,,,,,,,,,
,Expected years of schooling: Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrolment rates persist throughout the child’s life.,,,,,,,,,,,,,
,"Mean years of schooling: Average number of years of education received by people ages 25 and older, converted from education attainment levels using official durations of each level.",,,,,,,,,,,,,
,"Gross national income (GNI) per capita: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population.",,,,,,,,,,,,,
,GNI per capita rank minus HDI rank: Difference in ranking by GNI per capita and by HDI value. A negative value means that the country is better ranked by GNI than by HDI value.,,,,,,,,,,,,,
,"HDI rank for 2021: Ranking by HDI value for 2021, calculated using the same most recently revised data available in 2023 that were used to calculate HDI values for 2021.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,
,"Columns 1 and 7: HDRO calculations based on data from Barro and Lee (2018), IMF (2023), UNDESA (2022) (2023), UNESCO Institute for Statistics (2023), United Nations Statistics Division (2023) and World Bank (2023).",,,,,,,,,,,,,
,Column 2: UNDESA (2022). ,,,,,,,,,,,,,
,"Column 3: CEDLAS and The World Bank (2023), ICF Macro Demographic and Health Surveys, UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,
,"Column 4: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2023), UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,
,"Column 5: IMF (2023), UNDESA (2023), United Nations Statistics Division (2023) andWorld Bank (2023).",,,,,,,,,,,,,
,Column 6: Calculated based on data in columns 1 and 5.,,,,,,,,,,,,,
